844	2
3635	2
2592	1
802	2
2025	2
3503	4
3975	1
507	4
33	4
2809	3
1977	1
1521	4
609	3
2588	2
2518	2
2802	4
1628	4
2340	1
3273	2
526	4
2195	1
3430	4
2815	4
1866	4
2563	2
2531	2
1502	4
1571	4
2573	2
2157	1
3517	4
2189	1
2597	1
2905	3
908	3
3315	3
920	3
1822	4
826	1
421	2
2534	1
885	2
464	2
2576	1
2004	2
3119	4
3923	1
2157	1
1624	4
1571	4
1762	4
893	1
2340	1
2573	1
3975	1
3912	1
882	1
2516	2
2809	4
415	2
2542	2
1329	1
3822	2
4019	4
3934	1
819	2
1337	2
2195	1
2563	1
526	4
1386	2
602	4
3273	4
1824	4
1804	4
1019	4
4092	4
812	4
2595	1
2195	1
2528	2
2802	4
7	4
2563	4
2516	4
3994	2
3934	2
2518	2
2598	1
420	2
526	4
2340	4
819	4
2562	4
2525	4
2805	4
3843	4
837	2
2592	2
803	4
1762	4
453	1
2809	4
1892	4
1762	4
507	3
1571	4
842	2
595	4
646	3
1919	4
885	2
2179	1
913	4
2805	4
25	1
2504	2
890	2
719	2
3116	4
630	4
1845	4
2448	3
2507	2
3903	1
1343	2
2875	3
1019	3
2595	2
43	4
2824	3
2154	1
1804	3
1838	3
990	2
1333	4
2509	3
2832	4
2570	3
2538	3
2840	4
2106	1
3123	4
646	3
504	3
910	4
3968	1
2559	1
2541	1
2526	1
1853	4
2592	1
453	1
844	1
2890	4
1608	3
2570	1
3008	4
145	1
1064	2
702	2
516	2
854	2
2548	1
202	4
1613	2
2806	4
472	2
1065	2
2834	4
3219	2
3825	3
2813	4
2595	1
420	2
2178	1
2551	1
1517	2
2130	1
530	3
2802	4
2501	2
181	1
745	2
2957	2
2876	4
3943	1
3579	4
435	1
899	2
3671	1
1596	4
851	2
2172	1
1019	3
2025	3
2718	2
815	2
42	2
1528	4
1838	4
1504	4
2525	1
673	4
1831	3
963	1
469	1
890	2
3703	2
803	2
842	1
630	4
763	3
2578	1
1589	4
879	2
1328	2
3606	2
880	2
472	3
3917	1
3629	3
2102	1
1006	3
2827	3
1803	4
3621	3
963	3
59	3
2712	2
1894	3
2576	2
3657	2
2583	2
889	2
2562	2
2598	2
1613	2
818	4
516	3
2828	3
3934	1
2890	3
66	2
2178	1
2133	1
2559	2
3994	1
846	2
2155	1
863	2
1403	4
403	2
812	1
878	1
1507	3
2538	1
3915	1
2505	1
2102	1
3147	4
2509	1
778	2
2584	1
2583	1
728	3
937	4
3917	1
2832	4
2449	2
908	4
4017	4
2526	4
504	4
2133	1
4004	4
3648	2
646	4
2593	4
2008	4
534	4
2510	2
920	4
2025	4
885	4
879	4
989	4
3077	4
2834	4
2130	1
3968	1
603	4
3912	1
842	1
2150	2
2573	2
3903	4
2548	4
2500	1
3685	4
2166	1
1525	4
1901	2
2419	4
2006	4
810	3
2547	2
2510	2
648	4
710	2
2518	1
802	1
928	4
865	1
694	4
3512	4
2805	4
613	4
3994	1
2804	4
308	2
2124	1
1314	2
913	4
2179	1
874	2
3986	1
2136	1
932	3
990	3
870	1
3621	3
502	4
894	1
2841	4
863	1
140	2
2007	3
2507	1
3657	2
3672	3
3917	1
803	3
908	4
826	3
3633	2
1384	2
2855	4
464	2
3905	2
2660	2
328	3
2176	1
2534	2
2813	4
1350	4
1479	4
726	3
1727	4
812	3
42	3
2816	3
435	2
1528	4
2834	4
181	3
3957	2
820	2
2003	3
635	4
1831	4
2131	1
2974	3
2440	3
2189	1
815	3
3912	2
3648	3
2525	2
899	3
1855	4
1850	4
1803	4
2875	4
2840	4
2400	1
2547	1
3635	3
2567	1
2198	1
1837	4
2516	2
2196	1
2567	2
987	4
3667	3
2057	3
2597	2
2132	1
2155	2
1841	4
2531	4
2139	2
2157	2
1969	4
1012	4
1676	4
2177	2
2198	1
3915	1
3162	4
2102	4
2176	4
1831	4
2501	4
3975	2
595	4
2890	4
2509	4
854	3
893	3
3922	2
2198	1
1605	4
2172	1
3452	4
3943	2
2526	2
840	4
2136	1
2804	3
469	2
2541	2
3915	1
2110	1
2189	2
2803	3
3672	3
2591	2
2166	3
987	4
421	2
1819	4
1822	4
2130	1
2120	1
837	2
883	3
2139	1
2548	2
420	2
1407	4
920	4
1822	4
3456	4
879	3
1064	3
3968	2
882	3
813	3
504	3
518	4
1514	4
2536	2
659	4
1754	4
3196	4
739	3
976	4
869	3
1542	4
2001	3
1881	3
638	4
2078	4
2594	2
1207	2
2105	1
2909	3
827	3
24	1
2596	2
744	3
821	3
1810	4
2565	2
2194	1
3233	2
2551	4
2570	4
2178	2
929	4
2963	4
435	1
863	4
853	4
844	4
1362	3
903	4
2897	3
2893	3
83	2
2254	2
1332	3
3251	2
1305	3
3613	2
514	3
3709	3
707	2
1585	4
3648	2
2824	4
3905	1
2598	1
1083	3
2139	1
423	1
33	4
1814	4
1801	4
3922	1
2562	1
1739	4
2166	1
926	4
3903	1
3629	2
2832	4
2338	1
1856	2
859	1
2827	4
837	1
820	1
3667	3
2510	1
2214	3
1524	4
505	4
2300	2
1921	4
338	2
2531	1
1605	3
2746	3
542	3
336	2
1536	4
843	1
2176	1
01014-12	4
