2178	1.33333
4004	4
2179	1
1332	2.66667
1333	3.66667
24	2.33333
3116	4
25	1.33333
1831	3.66667
3613	2
1337	3
3119	4
1837	4
1838	3.5
00949-20	4
00945-11	4
710	3
3077	3.5
719	1.66667
3123	4
2188	2.5
2189	1.33333
33	4
1343	3
3621	3
4017	4
4019	4
3579	4
1841	4
1845	3.66667
3629	2.5
00879-91	3.5
673	4
00879-98	3
00879-99	3.66667
01035-1	4
7	3.5
2194	1
2195	1
726	3.33333
2196	2
01035-8	3.5
728	3
1350	4
42	2.5
2198	1
00851-28	4
43	4
1850	4
3633	2
3635	2.5
1853	4
1403	4
1855	4
2746	3
1856	3
1901	1.66667
181	2
1407	4
00945-39	3
739	3
1362	2.66667
2254	2
00859-1	1
3147	4
2300	2.5
00859-4	4
59	3
1866	4
3648	2.33333
2802	4
2803	3.66667
2804	3.5
2805	4
2806	4
2809	3.66667
1919	4
694	4
744	3
745	3
00893-21	3.5
00863-4	4
00863-7	4
66	2
00893-29	3.5
2314	2.5
3657	2
3703	3.33333
1921	4
2813	4
1878	4
2815	4
2816	3.66667
3709	3.33333
802	1.5
3162	4
803	3
308	2
00893-36	4
1384	2.66667
807	3
1386	2
1881	3.33333
3667	3
3219	2.66667
2824	3.5
2827	3.5
2828	3.66667
763	3.5
00900-11	4
810	2.66667
00851-66	3
812	2.66667
00893-43	3
813	3
00930-1	4
83	3
815	2.5
01014-12	4
3671	1.5
3672	3
818	3
1892	4
819	3
1894	3.66667
2832	4
2338	2.5
2834	4
01031-1	4
00945-77	3
820	1.5
821	2.66667
778	3
328	2.33333
826	2
2340	2
827	2.66667
3233	2.66667
01010-11	4
3685	4
2840	4
2841	4
1006	3.33333
1502	4
1504	4
00949-9	2
1507	3.5
01045-1	4
336	3
338	3
3196	4
837	1.66667
838	3
00873-15	3.33333
1012	3.5
2400	2.5
2855	4
1019	3.33333
1514	4
1517	3
1969	3.5
2905	3.5
2909	3
840	2.5
4092	4
842	1.33333
843	1
844	2.33333
846	2
3251	2.33333
1521	4
1479	4
1524	4
1525	3
1977	2
1528	4
2419	3.66667
851	3
853	4
01014-1	3.5
854	2.5
403	2
903	4
859	1
908	3.66667
2875	3.5
3315	3.5
2876	4
1536	4
00856-60	4
863	2.33333
865	2.66667
415	2
910	4
913	4
3273	3
869	2
1542	4
3822	3
1547	4
3825	3.5
870	1
420	2
421	2
874	3
423	1
920	3.66667
878	1
879	3
924	4
2890	3.66667
926	4
2440	2.66667
928	4
929	4
2893	3.5
00945-6	4
2897	3.66667
2448	2.33333
01040-16	4
2449	1.5
1605	3.5
1608	2.5
880	2
882	2
883	3.5
885	2.66667
435	1.33333
932	3
889	2.33333
439	2
1064	2.5
937	4
1065	2
00856-3	4
2001	3.66667
2453	4
2003	3.33333
2004	3
2500	2
3843	3.33333
2501	3
2006	3.66667
2007	3.5
2008	3.5
2504	2.33333
1613	2
2505	2.5
2957	3
2507	1.5
2509	2.66667
890	2
893	2
894	2.5
00899-12	4
899	2.5
00899-14	4
1571	4
1574	4
2510	1.66667
2963	3.5
1624	4
2516	2.66667
3903	2
2518	1.66667
1628	4
3905	1.5
01010-1	4
453	1
00899-22	3
502	4
504	3.33333
1083	3
505	4
507	3.5
00895-15	4
00879-1	3.5
2025	3
1585	4
2974	3.66667
00928-2	4
00879-7	4
1589	4
2525	2.33333
01040-49	4
3912	1.33333
2526	2.33333
2528	1.66667
3915	1
3917	1
464	2
963	2
469	1.5
514	3.5
01003-20	4
516	2.5
518	4
01040-51	4
00932-3	3.5
2531	2.33333
1596	4
00932-6	4
2534	1.5
3922	1.5
2536	1.66667
3923	2.5
2538	2
1649	2
472	2.5
976	4
526	4
00862-15	4
3430	4
2541	1.5
2542	3
2547	1.5
3934	1.33333
2548	2.33333
1207	3
00927-12	4
530	3.33333
534	4
01047-1	4
987	4
989	4
2551	2.5
2057	3.66667
2102	2
2105	1.66667
2106	1.33333
3943	1.5
2559	1.5
990	2.5
00879-10	3.5
542	3.5
00861-3	3.5
3452	4
2110	1.33333
2562	2.33333
2563	2.33333
3456	4
2565	3
2567	1.5
1676	4
3503	4
3008	4
3957	1.66667
1727	4
00922-82	2.5
00875-10	4
602	4
603	4
00875-1	3.66667
2570	2.66667
2120	1.33333
00875-4	4
00875-5	4
2573	1.66667
609	3.66667
2078	4
2124	1
2576	1.5
3512	4
2578	2
3517	4
3968	1.33333
1739	4
00879-32	4
00879-34	3.5
613	4
00915-19	4
2581	2.5
2130	1
2131	1
2583	1.5
2132	1.66667
2133	1
2584	2.5
2136	1
2588	2.33333
3975	1.33333
2139	1.33333
2591	2.66667
2592	1.33333
2593	2.5
2594	2.5
2595	1.33333
2596	2.33333
2597	1.5
2598	1.33333
3986	2.5
1754	4
1305	3.33333
1801	4
1803	4
1804	3.5
00907-10	3.5
00907-16	4
630	4
635	4
2150	1.66667
638	4
2154	1.33333
2155	1.5
3994	1.33333
2157	1.33333
1762	4
1314	3
00902-7	4
2657	2.5
1810	4
1814	4
1816	4
140	3
1819	4
00928-12	3.5
595	4
145	1
00859-14	1.66667
01003-2	4
01003-3	4
646	3.33333
648	4
00862-3	4
2660	1.33333
2166	1.66667
2214	3
00916-4	4
2712	2.5
1822	4
1779	4
1328	2
1824	4
1329	2.66667
3606	3
00916-9	4
1827	4
2718	2.5
202	4
702	3
2172	1
659	4
2176	2
707	3
2177	1.5
