1	  1	  3
2	  2	  0
2	  2	  1
2	  2	  2
2	  2	  3
3	  3	  0
3	  3	  1
3	  3	  2
3	  3	  3
4	  4	  0
4	  4	  1
4	  4	  2
4	  4	  3
5	  5	  1
6	  6	  1
7	  7	  1
8	  7	  0
8	  7	  1
8	  7	  2
8	  7	  3
8	  7	  4
8	  7	  5
9	  8	  4
10	  9	  4
11	  10	  1
11	  10	  2
12	  11	  1
13	  12	  3
14	  13	  4
14	  13	  5
15	  14	  5
16	  14	  2
17	  15	  0
17	  15	  1
17	  15	  2
17	  15	  3
17	  15	  4
17	  15	  5
18	  16	  2
19	  17	  0
19	  17	  1
19	  17	  2
20	  18	  0
20	  18	  1
20	  18	  2
20	  18	  3
21	  18	  3
22	  19	  0
22	  19	  1
22	  19	  2
22	  19	  3
22	  19	  4
22	  19	  5
23	  20	  0
23	  20	  1
23	  20	  2
23	  20	  3
23	  20	  4
23	  20	  5
23	  20	  6
24	  20	  1
25	  21	  0
25	  21	  1
25	  21	  2
25	  21	  3
25	  21	  4
25	  21	  5
25	  21	  6
26	  22	  6
27	  23	  8
28	  24	  3
29	  25	  0
29	  25	  1
29	  25	  2
29	  25	  3
29	  25	  4
30	  25	  0
30	  25	  1
30	  25	  2
30	  25	  3
30	  25	  4
31	  26	  0
31	  26	  1
31	  26	  2
31	  26	  3
31	  26	  4
31	  26	  5
32	  26	  0
32	  26	  1
32	  26	  2
32	  26	  3
32	  26	  4
32	  26	  5
33	  27	  0
33	  27	  1
34	  28	  2
35	  29	  2
35	  29	  7
36	  30	  1
37	  30	  3
38	  31	  2
38	  31	  3
39	  32	  1
40	  32	  4
41	  33	  6
42	  34	  0
42	  34	  1
42	  34	  2
42	  34	  3
42	  34	  4
42	  34	  5
42	  34	  6
43	  35	  5
44	  36	  3
45	  36	  4
46	  37	  7
47	  38	  6
48	  39	  2
48	  39	  4
49	  40	  3
50	  41	  3
51	  42	  4
51	  42	  5
52	  43	  5
53	  43	  6
54	  44	  4
55	  45	  0	  
55	  45	  1	  
55	  45	  2	  
55	  45	  3	  
55	  45	  4
55	  45	  5
55	  45	  6
56	  46	  7
57	  47	  6
58	  48	  6
59	  49	  6
59	  49	  7
60	  49	  6
61	  50	  6
62	  51	  4
63	  51	  6
64	  52	  5
65	  52	  0
65	  52	  1
65	  52	  2
65	  52	  3
65	  52	  4
65	  52	  5
66	  52	  5
67	  53	  0
67	  53	  1
67	  53	  2
67	  53	  3
67	  53	  4
67	  53	  5
68	  54	  0
68	  54	  1
68	  54	  2
68	  54	  3
68	  54	  4
69	  55	  0
69	  55	  1
69	  55	  2
70	  56	  0
70	  56	  1
70	  56	  2
71	  57	  0
71	  57	  1
72	  58	  0
72	  58	  1
73	  59	  0
73	  59	  1
74	  60	  0
74	  60	  1
74	  60	  2
75	  61	  0
75	  61	  1
75	  61	  2
75	  61	  3
75	  61	  4
76	  62	  0
76	  62	  1
