session	topic	subject	product	goal	tasktype
1	9	0	factual	amorphous	known-subject
2	19	0	intellectual	amorphous	exploratory
3	10	0	intellectual	amorphous	exploratory
4	25	0	intellectual	specific	interpretive
5	52	0	intellectual	specific	interpretive
6	8	0	factual	specific	known-item
7	24	0	factual	specific	known-item
8	22	0	intellectual	specific	interpretive
9	53	0	intellectual	specific	interpretive
10	60	0	intellectual	specific	interpretive
11	44	0	intellectual	specific	interpretive
12	26	0	intellectual	amorphous	exploratory
13	4	0	factual	specific	known-item
14	47	0	factual	specific	known-item
15	59	0	factual	amorphous	known-subject
16	58	0	intellectual	specific	interpretive
17	53	0	intellectual	specific	interpretive
18	30	0	intellectual	specific	interpretive
19	13	0	factual	amorphous	known-subject
20	34	0	intellectual	specific	interpretive
21	33	0	factual	amorphous	known-subject
22	9	0	factual	amorphous	known-subject
23	30	0	intellectual	specific	interpretive
24	54	0	factual	specific	known-item
25	16	0	factual	amorphous	known-subject
26	8	0	factual	specific	known-item
27	35	0	intellectual	specific	interpretive
28	42	0	intellectual	amorphous	exploratory
29	18	0	intellectual	amorphous	exploratory
30	28	0	intellectual	specific	interpretive
31	21	0	factual	amorphous	known-subject
32	25	0	intellectual	specific	interpretive
33	15	0	factual	specific	known-item
34	51	0	factual	specific	known-item
35	59	0	factual	amorphous	known-subject
36	39	0	intellectual	amorphous	exploratory
37	47	0	factual	specific	known-item
38	5	0	factual	amorphous	known-subject
39	8	0	factual	specific	known-item
40	24	0	factual	specific	known-item
41	33	0	factual	amorphous	known-subject
42	17	0	intellectual	amorphous	exploratory
43	42	0	intellectual	amorphous	exploratory
44	36	0	factual	amorphous	known-subject
45	10	0	intellectual	amorphous	exploratory
46	52	0	intellectual	specific	interpretive
47	58	0	intellectual	specific	interpretive
48	28	0	intellectual	specific	interpretive
49	15	0	factual	specific	known-item
50	56	0	factual	amorphous	known-subject
51	58	0	intellectual	specific	interpretive
52	21	0	factual	amorphous	known-subject
53	7	0	intellectual	amorphous	exploratory
