session	topic	subject	product	goal	tasktype
1	1	0	factual	specific	known-item
2	2	0	factual	specific	known-item
3	6	0	factual	specific	known-item
4	6	0	factual	specific	known-item
5	6	0	factual	specific	known-item
6	8	0	factual	specific	known-item
7	8	0	factual	specific	known-item
8	11	0	factual	specific	known-item
9	11	0	factual	specific	known-item
10	12	0	factual	specific	known-item
11	12	0	factual	specific	known-item
12	13	0	factual	specific	known-item
13	13	0	factual	specific	known-item
14	14	0	factual	specific	known-item
15	14	0	factual	specific	known-item
16	15	0	factual	specific	known-item
17	16	0	factual	specific	known-item
18	16	0	factual	specific	known-item
19	16	0	factual	specific	known-item
20	17	0	factual	specific	known-item
21	17	0	factual	specific	known-item
22	18	0	factual	specific	known-item
23	21	0	factual	specific	known-item
24	21	0	factual	specific	known-item
25	22	0	factual	specific	known-item
26	22	0	factual	specific	known-item
27	23	0	factual	specific	known-item
28	23	0	factual	specific	known-item
29	23	0	factual	specific	known-item
30	24	0	factual	specific	known-item
31	24	0	factual	specific	known-item
32	24	0	factual	specific	known-item
33	25	0	factual	specific	known-item
34	26	0	factual	specific	known-item
35	26	0	factual	specific	known-item
36	26	0	factual	specific	known-item
37	28	0	factual	specific	known-item
38	28	0	factual	specific	known-item
39	28	0	factual	specific	known-item
40	29	0	factual	specific	known-item
41	29	0	factual	specific	known-item
42	30	0	factual	specific	known-item
43	30	0	factual	specific	known-item
44	31	0	factual	specific	known-item
45	32	0	factual	specific	known-item
46	32	0	factual	specific	known-item
47	32	0	factual	specific	known-item
48	33	0	factual	specific	known-item
49	35	0	factual	amorphous	known-subject
50	37	0	factual	amorphous	known-subject
51	37	0	factual	amorphous	known-subject
52	38	0	factual	amorphous	known-subject
53	39	0	factual	amorphous	known-subject
54	40	0	factual	amorphous	known-subject
55	41	0	factual	amorphous	known-subject
56	42	0	factual	amorphous	known-subject
57	43	0	factual	amorphous	known-subject
58	45	0	factual	amorphous	known-subject
59	45	0	factual	amorphous	known-subject
60	45	0	factual	amorphous	known-subject
61	47	0	intellectual	specific	interpretive
62	47	0	intellectual	specific	interpretive
63	48	0	intellectual	specific	interpretive
64	48	0	intellectual	specific	interpretive
65	49	0	intellectual	specific	interpretive
66	49	0	intellectual	specific	interpretive
67	50	0	intellectual	specific	interpretive
68	51	0	intellectual	specific	interpretive
69	52	0	intellectual	specific	interpretive
70	52	0	intellectual	specific	interpretive
71	54	0	intellectual	specific	interpretive
72	55	0	intellectual	specific	interpretive
73	55	0	intellectual	specific	interpretive
74	55	0	intellectual	specific	interpretive
75	58	0	intellectual	amorphous	exploratory
76	60	0	intellectual	amorphous	exploratory
77	62	0	intellectual	amorphous	exploratory
78	62	0	intellectual	amorphous	exploratory
79	62	0	intellectual	amorphous	exploratory
80	63	0	intellectual	amorphous	exploratory
81	64	0	intellectual	amorphous	exploratory
82	65	0	intellectual	amorphous	exploratory
83	65	0	intellectual	amorphous	exploratory
84	67	0	intellectual	amorphous	exploratory
85	69	0	intellectual	amorphous	exploratory
86	69	0	intellectual	amorphous	exploratory
87	69	0	intellectual	amorphous	exploratory
88	2	0	factual	specific	known-item
89	3	0	factual	specific	known-item
90	3	0	factual	specific	known-item
91	4	0	factual	specific	known-item
92	7	0	factual	specific	known-item
93	9	0	factual	specific	known-item
94	9	0	factual	specific	known-item
95	10	0	factual	specific	known-item
96	11	0	factual	specific	known-item
97	12	0	factual	specific	known-item
98	12	0	factual	specific	known-item
99	13	0	factual	specific	known-item
100	15	0	factual	specific	known-item
101	15	0	factual	specific	known-item
102	16	0	factual	specific	known-item
103	18	0	factual	specific	known-item
104	19	0	factual	specific	known-item
105	20	0	factual	specific	known-item
106	21	0	factual	specific	known-item
107	21	0	factual	specific	known-item
108	22	0	factual	specific	known-item
109	25	0	factual	specific	known-item
110	27	0	factual	specific	known-item
111	31	0	factual	specific	known-item
112	33	0	factual	specific	known-item
113	35	0	factual	amorphous	known-subject
114	35	0	factual	amorphous	known-subject
115	38	0	factual	amorphous	known-subject
116	38	0	factual	amorphous	known-subject
117	38	0	factual	amorphous	known-subject
118	41	0	factual	amorphous	known-subject
119	45	0	factual	amorphous	known-subject
120	46	0	factual	amorphous	known-subject
121	46	0	factual	amorphous	known-subject
122	47	0	intellectual	specific	interpretive
123	49	0	intellectual	specific	interpretive
124	50	0	intellectual	specific	interpretive
125	50	0	intellectual	specific	interpretive
126	52	0	intellectual	specific	interpretive
127	54	0	intellectual	specific	interpretive
128	56	0	intellectual	specific	interpretive
129	56	0	intellectual	specific	interpretive
130	59	0	intellectual	amorphous	exploratory
131	63	0	intellectual	amorphous	exploratory
132	68	0	intellectual	amorphous	exploratory
133	68	0	intellectual	amorphous	exploratory
